Scenario,Protocol,Mode,Rx Packets,App Bytes Recovered Post-Failure,Routing Overhead (Bytes),Normalized Routing Overhead
1,AODV,Baseline,2970.35 ± 28.78 (95% CI ± 13.47) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],124112.00 ± 2162.32 (95% CI ± 1012.00) [n=20],0.8731 ± 0.0266 (95% CI ± 0.0125) [n=20]
1,AODV,GRAF-Global,4038.70 ± 183.28 (95% CI ± 85.78) [n=20],68198.40 ± 10972.62 (95% CI ± 5135.35) [n=20],124112.00 ± 2162.32 (95% CI ± 1012.00) [n=20],0.6436 ± 0.0393 (95% CI ± 0.0184) [n=20]
1,AODV,GRAF-Local,3807.50 ± 232.70 (95% CI ± 108.91) [n=20],53401.60 ± 15054.54 (95% CI ± 7045.74) [n=20],124112.00 ± 2162.32 (95% CI ± 1012.00) [n=20],0.6834 ± 0.0445 (95% CI ± 0.0208) [n=20]
1,OLSR,Baseline,2991.75 ± 6.47 (95% CI ± 3.03) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],45139.20 ± 1091.38 (95% CI ± 510.78) [n=20],0.4715 ± 0.0118 (95% CI ± 0.0055) [n=20]
1,OLSR,GRAF-Global,4060.10 ± 170.85 (95% CI ± 79.96) [n=20],68198.40 ± 10972.62 (95% CI ± 5135.35) [n=20],45139.20 ± 1091.38 (95% CI ± 510.78) [n=20],0.3479 ± 0.0137 (95% CI ± 0.0064) [n=20]
1,OLSR,GRAF-Local,3810.90 ± 246.82 (95% CI ± 115.52) [n=20],52249.60 ± 15918.50 (95% CI ± 7450.09) [n=20],45139.20 ± 1091.38 (95% CI ± 510.78) [n=20],0.3715 ± 0.0236 (95% CI ± 0.0110) [n=20]
2,AODV,Baseline,2435.40 ± 28.41 (95% CI ± 13.30) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],124112.00 ± 2162.32 (95% CI ± 1012.00) [n=20],1.0650 ± 0.0344 (95% CI ± 0.0161) [n=20]
2,AODV,GRAF-Global,3455.50 ± 168.12 (95% CI ± 78.68) [n=20],64972.80 ± 10486.66 (95% CI ± 4907.91) [n=20],124112.00 ± 2162.32 (95% CI ± 1012.00) [n=20],0.7523 ± 0.0441 (95% CI ± 0.0206) [n=20]
2,AODV,GRAF-Local,3487.65 ± 145.61 (95% CI ± 68.15) [n=20],66998.40 ± 9425.33 (95% CI ± 4411.19) [n=20],124112.00 ± 2162.32 (95% CI ± 1012.00) [n=20],0.7448 ± 0.0380 (95% CI ± 0.0178) [n=20]
2,OLSR,Baseline,2456.80 ± 9.04 (95% CI ± 4.23) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],45094.40 ± 870.66 (95% CI ± 407.48) [n=20],0.5736 ± 0.0118 (95% CI ± 0.0055) [n=20]
