Scenario,Protocol,Mode,PDR (%),Throughput (kbps),Avg Delay (ms),Service Restoration Latency (s),End-to-End Cluster Recovery (%),Sensor Recovery (%),Jain Fairness Index,CH Energy Consumed (J),CHs Depleted,Energy/Bit (J/bit),HB Detections,HB Mean Latency (s)
1,AODV,Baseline,70.06 ± 0.68 (95% CI ± 0.32) [n=20],8.10 ± 0.08 (95% CI ± 0.04) [n=20],3.43 ± 0.02 (95% CI ± 0.01) [n=20],N/A,0.00 ± 0.00 (95% CI ± N/A) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],0.76 ± 0.01 (95% CI ± 0.01) [n=20],0.66 ± 0.02 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],3.001e-07 ± 6.373e-09 (95% CI ± 2.983e-09) [n=20],3.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.08 (95% CI ± 0.04) [n=20]
1,AODV,GRAF-Global,95.25 ± 4.32 (95% CI ± 2.02) [n=20],11.01 ± 0.50 (95% CI ± 0.23) [n=20],3.41 ± 0.01 (95% CI ± 0.01) [n=20],2.64 ± 0.55 (95% CI ± 0.26) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],91.50 ± 9.21 (95% CI ± 4.31) [n=20],0.96 ± 0.04 (95% CI ± 0.02) [n=20],0.66 ± 0.02 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],2.210e-07 ± 9.369e-09 (95% CI ± 4.385e-09) [n=20],3.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.08 (95% CI ± 0.04) [n=20]
1,AODV,GRAF-Local,89.80 ± 5.49 (95% CI ± 2.57) [n=20],10.38 ± 0.63 (95% CI ± 0.30) [n=20],3.46 ± 0.12 (95% CI ± 0.06) [n=20],2.64 ± 0.55 (95% CI ± 0.26) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],0.93 ± 0.04 (95% CI ± 0.02) [n=20],0.66 ± 0.02 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],2.349e-07 ± 1.456e-08 (95% CI ± 6.814e-09) [n=20],3.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.08 (95% CI ± 0.04) [n=20]
1,OLSR,Baseline,70.56 ± 0.15 (95% CI ± 0.07) [n=20],8.16 ± 0.02 (95% CI ± 0.01) [n=20],3.88 ± 0.42 (95% CI ± 0.20) [n=20],N/A,0.00 ± 0.00 (95% CI ± N/A) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],0.77 ± 0.00 (95% CI ± 0.00) [n=20],2.18 ± 0.06 (95% CI ± 0.03) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],9.896e-07 ± 2.620e-08 (95% CI ± 1.226e-08) [n=20],3.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.08 (95% CI ± 0.04) [n=20]
1,OLSR,GRAF-Global,95.76 ± 4.03 (95% CI ± 1.89) [n=20],11.07 ± 0.47 (95% CI ± 0.22) [n=20],3.63 ± 0.03 (95% CI ± 0.01) [n=20],2.64 ± 0.55 (95% CI ± 0.26) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],91.50 ± 9.21 (95% CI ± 4.31) [n=20],0.97 ± 0.03 (95% CI ± 0.02) [n=20],2.18 ± 0.06 (95% CI ± 0.03) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],7.301e-07 ± 2.768e-08 (95% CI ± 1.296e-08) [n=20],3.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.08 (95% CI ± 0.04) [n=20]
1,OLSR,GRAF-Local,89.88 ± 5.82 (95% CI ± 2.72) [n=20],10.39 ± 0.67 (95% CI ± 0.31) [n=20],3.70 ± 0.13 (95% CI ± 0.06) [n=20],2.64 ± 0.55 (95% CI ± 0.26) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],0.93 ± 0.04 (95% CI ± 0.02) [n=20],2.18 ± 0.06 (95% CI ± 0.03) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],7.798e-07 ± 5.095e-08 (95% CI ± 2.385e-08) [n=20],3.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.08 (95% CI ± 0.04) [n=20]
2,AODV,Baseline,57.44 ± 0.67 (95% CI ± 0.31) [n=20],6.64 ± 0.08 (95% CI ± 0.04) [n=20],3.51 ± 0.02 (95% CI ± 0.01) [n=20],N/A,0.00 ± 0.00 (95% CI ± N/A) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],0.72 ± 0.02 (95% CI ± 0.01) [n=20],0.46 ± 0.01 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],2.575e-07 ± 7.337e-09 (95% CI ± 3.434e-09) [n=20],5.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.07 (95% CI ± 0.03) [n=20]
2,AODV,GRAF-Global,81.50 ± 3.97 (95% CI ± 1.86) [n=20],9.42 ± 0.46 (95% CI ± 0.21) [n=20],3.49 ± 0.02 (95% CI ± 0.01) [n=20],2.55 ± 0.49 (95% CI ± 0.23) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],87.60 ± 7.99 (95% CI ± 3.74) [n=20],0.90 ± 0.03 (95% CI ± 0.01) [n=20],0.46 ± 0.01 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],1.818e-07 ± 8.556e-09 (95% CI ± 4.004e-09) [n=20],5.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.07 (95% CI ± 0.03) [n=20]
2,AODV,GRAF-Local,82.26 ± 3.43 (95% CI ± 1.61) [n=20],9.51 ± 0.40 (95% CI ± 0.19) [n=20],3.67 ± 0.33 (95% CI ± 0.16) [n=20],2.53 ± 0.47 (95% CI ± 0.22) [n=20],100.00 ± 0.00 (95% CI ± N/A) [n=20],99.80 ± 0.62 (95% CI ± 0.29) [n=20],0.89 ± 0.03 (95% CI ± 0.01) [n=20],0.46 ± 0.01 (95% CI ± 0.01) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],1.801e-07 ± 8.882e-09 (95% CI ± 4.157e-09) [n=20],5.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.07 (95% CI ± 0.03) [n=20]
2,OLSR,Baseline,57.94 ± 0.21 (95% CI ± 0.10) [n=20],6.70 ± 0.02 (95% CI ± 0.01) [n=20],3.96 ± 0.50 (95% CI ± 0.24) [n=20],N/A,0.00 ± 0.00 (95% CI ± N/A) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],0.73 ± 0.00 (95% CI ± 0.00) [n=20],1.88 ± 0.03 (95% CI ± 0.02) [n=20],0.00 ± 0.00 (95% CI ± N/A) [n=20],1.040e-06 ± 1.931e-08 (95% CI ± 9.037e-09) [n=20],5.00 ± 0.00 (95% CI ± N/A) [n=20],1.25 ± 0.07 (95% CI ± 0.03) [n=20]
